name,image,property,variation,scale,rating,attempt

Matti,im2,br,0.7,1_10,1,2

Matti,im2,br,1.15,1_10,5,2

Matti,im2,br,1.45,1_10,4,2

Matti,im2,br,1.3,1_10,2,2

Matti,im2,br,0.85,1_10,4,2

Matti,im2,br,1,1_10,6,2

Matti,im2,br,0.7,words,sehr schlecht,2

Matti,im2,br,1.15,words,schlecht,2

Matti,im2,br,1.45,words,schlecht,2

Matti,im2,br,1.3,words,schlecht,2

Matti,im2,br,0.85,words,gut,2

Matti,im2,br,1,words,gut,2

Matti,im2,br,0.7,grades,6,2

Matti,im2,br,1.15,grades,3,2

Matti,im2,br,1.45,grades,4,2

Matti,im2,br,1.3,grades,4,2

Matti,im2,br,0.85,grades,2,2

Matti,im2,br,1,grades,2+,2

Matti,im2,br,0.7,1_50,4,2

Matti,im2,br,1.15,1_50,15,2

Matti,im2,br,1.45,1_50,10,2

Matti,im2,br,1.3,1_50,13,2

Matti,im2,br,0.85,1_50,22,2

Matti,im2,br,1,1_50,34,2

Matti,im2,con,1.15,1_10,2,2

Matti,im2,con,1.3,1_10,3,2

Matti,im2,con,1.45,1_10,3,2

Matti,im2,con,0.7,1_10,3,2

Matti,im2,con,1,1_10,5,2

Matti,im2,con,0.85,1_10,4,2

Matti,im2,con,1.15,words,sehr schlecht,2

Matti,im2,con,1.3,words,schlecht,2

Matti,im2,con,1.45,words,schlecht,2

Matti,im2,con,0.7,words,schlecht,2

Matti,im2,con,1,words,mittel,2

Matti,im2,con,0.85,words,mittel,2

Matti,im2,con,1.15,grades,6,2

Matti,im2,con,1.3,grades,5+,2

Matti,im2,con,1.45,grades,4,2

Matti,im2,con,0.7,grades,4+,2

Matti,im2,con,1,grades,2,2

Matti,im2,con,0.85,grades,3-,2

Matti,im2,con,1.15,1_50,2,2

Matti,im2,con,1.3,1_50,4,2

Matti,im2,con,1.45,1_50,15,2

Matti,im2,con,0.7,1_50,18,2

Matti,im2,con,1,1_50,26,2

Matti,im2,con,0.85,1_50,23,2

Matti,im2,sat,1.4,1_10,6,2

Matti,im2,sat,1.6,1_10,3,2

Matti,im2,sat,0.9,1_10,3,2

Matti,im2,sat,1,1_10,3,2

Matti,im2,sat,0.75,1_10,5,2

Matti,im2,sat,1.2,1_10,6,2

Matti,im2,sat,1.4,words,mittel,2

Matti,im2,sat,1.6,words,sehr schlecht,2

Matti,im2,sat,0.9,words,schlecht,2

Matti,im2,sat,1,words,mittel,2

Matti,im2,sat,0.75,words,gut,2

Matti,im2,sat,1.2,words,sehr gut,2

Matti,im2,sat,1.4,grades,3+,2

Matti,im2,sat,1.6,grades,5-,2

Matti,im2,sat,0.9,grades,4+,2

Matti,im2,sat,1,grades,3,2

Matti,im2,sat,0.75,grades,3+,2

Matti,im2,sat,1.2,grades,1-,2

Matti,im2,sat,1.4,1_50,7,2

Matti,im2,sat,1.6,1_50,3,2

Matti,im2,sat,0.9,1_50,15,2

Matti,im2,sat,1,1_50,20,2

Matti,im2,sat,0.75,1_50,30,2

Matti,im2,sat,1.2,1_50,33,2

Matti,im6,br,0.7,1_10,1,2

Matti,im6,br,1.15,1_10,3,2

Matti,im6,br,1.45,1_10,8,2

Matti,im6,br,1.3,1_10,10,2

Matti,im6,br,0.85,1_10,5,2

Matti,im6,br,1,1_10,1,2

Matti,im6,br,0.7,words,schlecht,2

Matti,im6,br,1.15,words,mittel,2

Matti,im6,br,1.45,words,sehr gut,2

Matti,im6,br,1.3,words,sehr gut,2

Matti,im6,br,0.85,words,mittel,2

Matti,im6,br,1,words,sehr schlecht,2

Matti,im6,br,0.7,grades,5,2

Matti,im6,br,1.15,grades,3,2

Matti,im6,br,1.45,grades,2+,2

Matti,im6,br,1.3,grades,1+,2

Matti,im6,br,0.85,grades,3-,2

Matti,im6,br,1,grades,5-,2

Matti,im6,br,0.7,1_50,2,2

Matti,im6,br,1.15,1_50,18,2

Matti,im6,br,1.45,1_50,41,2

Matti,im6,br,1.3,1_50,46,2

Matti,im6,br,0.85,1_50,29,2

Matti,im6,br,1,1_50,3,2

Matti,im6,con,1.15,1_10,1,2

Matti,im6,con,1.3,1_10,3,2

Matti,im6,con,1.45,1_10,9,2

Matti,im6,con,0.7,1_10,8,2

Matti,im6,con,1,1_10,4,2

Matti,im6,con,0.85,1_10,7,2

Matti,im6,con,1.15,words,sehr schlecht,2

Matti,im6,con,1.3,words,schlecht,2

Matti,im6,con,1.45,words,sehr gut,2

Matti,im6,con,0.7,words,mittel,2

Matti,im6,con,1,words,mittel,2

Matti,im6,con,0.85,words,gut,2

Matti,im6,con,1.15,grades,5-,2

Matti,im6,con,1.3,grades,3,2

Matti,im6,con,1.45,grades,1-,2

Matti,im6,con,0.7,grades,2+,2

Matti,im6,con,1,grades,3-,2

Matti,im6,con,0.85,grades,2,2

Matti,im6,con,1.15,1_50,2,2

Matti,im6,con,1.3,1_50,15,2

Matti,im6,con,1.45,1_50,43,2

Matti,im6,con,0.7,1_50,33,2

Matti,im6,con,1,1_50,25,2

Matti,im6,con,0.85,1_50,34,2

Matti,im6,sat,1.4,1_10,4,2

Matti,im6,sat,1.6,1_10,3,2

Matti,im6,sat,0.9,1_10,9,2

Matti,im6,sat,1,1_10,5,2

Matti,im6,sat,0.75,1_10,2,2

Matti,im6,sat,1.2,1_10,7,2

Matti,im6,sat,1.4,words,schlecht,2

Matti,im6,sat,1.6,words,schlecht,2

Matti,im6,sat,0.9,words,sehr gut,2

Matti,im6,sat,1,words,schlecht,2

Matti,im6,sat,0.75,words,schlecht,2

Matti,im6,sat,1.2,words,gut,2

Matti,im6,sat,1.4,grades,4+,2

Matti,im6,sat,1.6,grades,4+,2

Matti,im6,sat,0.9,grades,1,2

Matti,im6,sat,1,grades,4+,2

Matti,im6,sat,0.75,grades,5+,2

Matti,im6,sat,1.2,grades,2-,2

Matti,im6,sat,1.4,1_50,18,2

Matti,im6,sat,1.6,1_50,13,2

Matti,im6,sat,0.9,1_50,42,2

Matti,im6,sat,1,1_50,29,2

Matti,im6,sat,0.75,1_50,15,2

Matti,im6,sat,1.2,1_50,35,2
